language,BCP-47 code,ISO 639-3 code
Ghotuo,NaN,aaa
Alumu-Tesu,NaN,aab
Ari,NaN,aac
Amal,NaN,aad
Arbëreshë Albanian,NaN,aae
Aranadan,NaN,aaf
Ambrak,NaN,aag
Abu' Arapesh,NaN,aah
Arifama-Miniafia,NaN,aai
Ankave,NaN,aak
Afade,NaN,aal
Anambé,NaN,aan
Algerian Saharan Arabic,NaN,aao
Pará Arára,NaN,aap
Eastern Abnaki,NaN,aaq
Afar,NaN,aar
Aasáx,NaN,aas
Arvanitika Albanian,NaN,aat
Abau,NaN,aau
Solong,NaN,aaw
Mandobo Atas,NaN,aax
Amarasi,NaN,aaz
Abé,NaN,aba
Bankon,NaN,abb
Ambala Ayta,NaN,abc
Manide,NaN,abd
Western Abnaki,NaN,abe
Abai Sungai,NaN,abf
Abaga,NaN,abg
Tajiki Arabic,NaN,abh
Abidji,NaN,abi
Aka-Bea,NaN,abj
Abkhaz,NaN,abk
Lampung Nyo,NaN,abl
Abanyom,NaN,abm
Abua,NaN,abn
Abon,NaN,abo
"Ayta, Abellen",NaN,abp
Abaza,NaN,abq
Abron,NaN,abr
Ambonese Malay,NaN,abs
Ambulas,NaN,abt
Abure,NaN,abu
Baharna Arabic,NaN,abv
Pal,NaN,abw
Inabaknon,NaN,abx
Aneme Wake,NaN,aby
Abui,NaN,abz
Achagua,NaN,aca
Gikyode,NaN,acd
Aceh,NaN,ace
Lesser Antillean French Creole,NaN,acf
Acholi,NaN,ach
Aka-Cari,NaN,aci
Aka-Kora,NaN,ack
Akar-Bale,NaN,acl
Achang,NaN,acn
Eastern Acipa,NaN,acp
Ta'izzi-Adeni Arabic,NaN,acq
Achi,NaN,acr
Acroá,NaN,acs
Achterhoeks,NaN,act
Achuar-Shiwiar,NaN,acu
Achumawi,NaN,acv
Hijazi Arabic,NaN,acw
Omani Arabic,NaN,acx
Cypriot Arabic,NaN,acy
Acheron,NaN,acz
Adangme,NaN,ada
Lidzonka,NaN,add
Adele,NaN,ade
Dhofari Arabic,NaN,adf
Andegerebinha,NaN,adg
Jopadhola,NaN,adh
Adi,NaN,adi
Adioukrou,NaN,adj
Galo,NaN,adl
Adang,NaN,adn
Abu,NaN,ado
Adangbe,NaN,adq
Adonara,NaN,adr
Adnyamathanha,NaN,adt
Amundava,NaN,adw
"Tibetan, Amdo",NaN,adx
Adyghe,NaN,ady
Adzera,NaN,adz
Areba,NaN,aea
Saidi Arabic,NaN,aec
Northeast Pashayi,NaN,aee
Haeke,NaN,aek
Ambele,NaN,ael
Arem,NaN,aem
Aer,NaN,aeq
Eastern Arrernte,NaN,aer
Alsea,NaN,aes
Akeu,NaN,aeu
Ambakich,NaN,aew
Amele,NaN,aey
Aeka,NaN,aez
Gulf Arabic,NaN,afb
Andai,NaN,afd
Putukwam,NaN,afe
Chini,NaN,afi
Nanubae,NaN,afk
Defaka,NaN,afn
Eloyi,NaN,afo
Tapei,NaN,afp
Afrikaans,afr_Latn,afr
Afro-Seminole Creole,NaN,afs
Afitti,NaN,aft
Awutu,NaN,afu
Obokuitai,NaN,afz
Legbo,NaN,agb
Agatu,NaN,agc
Agarabi,NaN,agd
Angal,NaN,age
Arguni,NaN,agf
Angor,NaN,agg
Ngelima,NaN,agh
Argobba,NaN,agj
Isarog Agta,NaN,agk
Fembe,NaN,agl
Angaataha,NaN,agm
Agutaynen,NaN,agn
Tainae,NaN,ago
Aghem,NaN,agq
Awajún,NaN,agr
Esimbi,NaN,ags
Central Cagayan Agta,NaN,agt
Awakateko,NaN,agu
Remontado Dumagat,NaN,agv
Kahua,NaN,agw
Aghul,NaN,agx
Southern Alta,NaN,agy
Mt. Iriga Agta,NaN,agz
Ahanta,NaN,aha
Axamb,NaN,ahb
Qimant,NaN,ahg
Aghu,NaN,ahh
Tiagbamrin Aizi,NaN,ahi
Akha,NaN,ahk
Igo,NaN,ahl
Mobumrin Aizi,NaN,ahm
Àhàn,NaN,ahn
Ahom,NaN,aho
Aproumu Aizi,NaN,ahp
Ashe,NaN,ahs
Ahtena,NaN,aht
Arosi,NaN,aia
Ainu (China),NaN,aib
Ainbai,NaN,aic
Alngith,NaN,aid
Amara,NaN,aie
Agi,NaN,aif
Antigua and Barbuda Creole English,NaN,aig
Ai-Cham,NaN,aih
Assyrian Neo-Aramaic,NaN,aii
Lishanid Noshan,NaN,aij
Ake,NaN,aik
Aimele,NaN,ail
Aimol,NaN,aim
Ainu (Japan),NaN,ain
Aiton,NaN,aio
Burumakok,NaN,aip
Aimaq,NaN,aiq
Airoran,NaN,air
Arikem,NaN,ait
Aari,NaN,aiw
Aighon,NaN,aix
Ali,NaN,aiy
Aja (South Sudan),NaN,aja
Aja (Benin),NaN,ajg
Ajië,NaN,aji
Andajin,NaN,ajn
Judeo-Tunisian Arabic,NaN,ajt
Judeo-Moroccan Arabic,NaN,aju
Ajawa,NaN,ajw
Amri Karbi,NaN,ajz
Akan,aka_Latn,aka
Batak Angkola,NaN,akb
Mpur,NaN,akc
Ukpet-Ehom,NaN,akd
Akawaio,NaN,ake
Akpa,NaN,akf
Anakalangu,NaN,akg
Angal Heneng,NaN,akh
Aiome,NaN,aki
Aka-Jeru,NaN,akj
Akkadian,NaN,akk
Aklanon,NaN,akl
Aka-Bo,NaN,akm
Akurio,NaN,ako
Siwu,NaN,akp
Ak,NaN,akq
Araki,NaN,akr
Akaselem,NaN,aks
Akolet,NaN,akt
Akum,NaN,aku
Akhvakh,NaN,akv
Akwa,NaN,akw
Aka-Kede,NaN,akx
Aka-Kol,NaN,aky
Alabama,NaN,akz
Alago,NaN,ala
Qawasqar,NaN,alc
Alladian,NaN,ald
Aleut,NaN,ale
Alege,NaN,alf
Alawa,NaN,alh
Amaimon,NaN,ali
Alangan,NaN,alj
Alak,NaN,alk
Allar,NaN,all
Amblong,NaN,alm
Albanian,NaN,aln
Larike-Wakasihu,NaN,alo
Alune,NaN,alp
Algonquin,NaN,alq
Alutor,NaN,alr
"Altai, Southern",NaN,alt
'Are'are,NaN,alu
Wanbasana,NaN,alw
Amol,NaN,alx
Alyawarr,NaN,aly
Alur,NaN,alz
Amanayé,NaN,ama
Ambo,NaN,amb
Amahuaca,NaN,amc
Yanesha’,NaN,ame
Hamer-Banna,NaN,amf
Amurdak,NaN,amg
Amharic,amh_Ethi,amh
Amis,NaN,ami
Amdang,NaN,amj
Ambai,NaN,amk
War-Jaintia,NaN,aml
Ama (Papua New Guinea),NaN,amm
Amanab,NaN,amn
Amo,NaN,amo
Alamblak,NaN,amp
Amahai,NaN,amq
Amarakaeri,NaN,amr
Southern Amami-Oshima,NaN,ams
Amto,NaN,amt
Guerrero Amuzgo,NaN,amu
Ambelau,NaN,amv
Western Neo-Aramaic,NaN,amw
Anmatyerre,NaN,amx
Ami,NaN,amy
Atampaya,NaN,amz
Andaqui,NaN,ana
Andoa,NaN,anb
Ngas,NaN,anc
Ansus,NaN,and
Xârâcùù,NaN,ane
Animere,NaN,anf
Old English (ca. 450-1100),NaN,ang
Nend,NaN,anh
Andi,NaN,ani
Anor,NaN,anj
Goemai,NaN,ank
Anu-Hkongso Chin,NaN,anl
Anal,NaN,anm
Obolo,NaN,ann
Andoque,NaN,ano
Angika,NaN,anp
Jarawa (India),NaN,anq
Andh,NaN,anr
Anserma,NaN,ans
Antikarinya,NaN,ant
Anuak,NaN,anu
Denya,NaN,anv
Anaang,NaN,anw
Andra-Hus,NaN,anx
Anyin,NaN,any
Anem,NaN,anz
Angolar,NaN,aoa
Abom,NaN,aob
Pemon,NaN,aoc
Andarum,NaN,aod
Angal Enen,NaN,aoe
Bragat,NaN,aof
Angoram,NaN,aog
Anindilyakwa,NaN,aoi
Mufian,NaN,aoj
Arhö,NaN,aok
Alor,NaN,aol
Ömie,NaN,aom
Bumbita Arapesh,NaN,aon
Aore,NaN,aor
Taikat,NaN,aos
Atong (India),NaN,aot
A'ou,NaN,aou
Atorada,NaN,aox
Uab Meto,NaN,aoz
Sa’a,NaN,apb
Sudanese Arabic,NaN,apd
Bukiyip,NaN,ape
Pahanan Agta,NaN,apf
Ampanang,NaN,apg
Athpariya,NaN,aph
Apiaká,NaN,api
Jicarilla Apache,NaN,apj
Kiowa Apache,NaN,apk
Lipan Apache,NaN,apl
Mescalero-Chiricahua Apache,NaN,apm
Apinayé,NaN,apn
Ambul,NaN,apo
Apma,NaN,app
A-Pucikwar,NaN,apq
Arop-Lokep,NaN,apr
Arop-Sissano,NaN,aps
Apatani,NaN,apt
Apurinã,NaN,apu
Western Apache,NaN,apw
Aputai,NaN,apx
Apalaí,NaN,apy
Safeyoka,NaN,apz
Archi,NaN,aqc
Ampari Dogon,NaN,aqd
Arigidi,NaN,aqg
Aninka,NaN,aqk
Atohwaim,NaN,aqm
Northern Alta,NaN,aqn
Atakapa,NaN,aqp
Arhâ,NaN,aqr
Angaité,NaN,aqt
Akuntsu,NaN,aqz
Arabic,NaN,ara
Modern Standard Arabic,arb_Arab,arb
Official Aramaic (700-300 BCE),NaN,arc
Arabana,NaN,ard
Western Arrarnta,NaN,are
Aragonese,NaN,arg
Arhuaco,NaN,arh
Arikara,NaN,ari
Arapaso,NaN,arj
Arikapú,NaN,ark
Arabela,NaN,arl
Mapudungun,NaN,arn
Araona,NaN,aro
Arapaho,NaN,arp
Algerian Arabic,NaN,arq
Karo (Brazil),NaN,arr
Aruá (Amazonas State),NaN,aru
Arbore,NaN,arv
Arawak,NaN,arw
Aruá (Rodonia State),NaN,arx
Moroccan Arabic,ary_Arab,ary
Egyptian Arabic,arz_Arab,arz
Asu,NaN,asa
Assiniboine,NaN,asb
Casuarina Coast Asmat,NaN,asc
Cishingini,NaN,asg
Abishira,NaN,ash
Buruwai,NaN,asi
Sari,NaN,asj
Ashkun,NaN,ask
Asilulu,NaN,asl
Assamese,asm_Beng,asm
Xingú Asuriní,NaN,asn
Dano,NaN,aso
Asuri,NaN,asr
Ipulo,NaN,ass
Asturian,ast_Latn,ast
Tocantins Asurini,NaN,asu
Asoa,NaN,asv
Muratayak,NaN,asx
Yaosakor Asmat,NaN,asy
As,NaN,asz
Pele-Ata,NaN,ata
Zaiwa,NaN,atb
Atsahuaca,NaN,atc
Ata Manobo,NaN,atd
Atemble,NaN,ate
Ivbie North-Okpela-Arhe,NaN,atg
Attié,NaN,ati
Atikamekw,NaN,atj
Ati,NaN,atk
Mt. Iraya Agta,NaN,atl
Ata,NaN,atm
Ashtiani,NaN,atn
Atong (Cameroon),NaN,ato
Pudtol Atta,NaN,atp
Aralle-Tabulahan,NaN,atq
Waimiri-Atroari,NaN,atr
Gros Ventre,NaN,ats
Pamplona Atta,NaN,att
Reel,NaN,atu
Northern Altai,NaN,atv
Atsugewi,NaN,atw
Arutani,NaN,atx
Aneityum,NaN,aty
Arta,NaN,atz
Asumboa,NaN,aua
Alugu,NaN,aub
Waorani,NaN,auc
Anuta,NaN,aud
Aguna,NaN,aug
Aushi,NaN,auh
Anuki,NaN,aui
Awjilah,NaN,auj
Heyo,NaN,auk
Aulua,NaN,aul
Asu (Nigeria),NaN,aum
Molmo One,NaN,aun
Auyokawa,NaN,auo
Makayam,NaN,aup
Korur,NaN,auq
Aruek,NaN,aur
Austral,NaN,aut
Auye,NaN,auu
Awyi,NaN,auw
Aurá,NaN,aux
Awiyaana,NaN,auy
Uzbeki Arabic,NaN,auz
Avar,NaN,ava
Avau,NaN,avb
Alviri-Vidari,NaN,avd
Avestan,NaN,ave
Avikam,NaN,avi
Eastern Egyptian Bedawi Arabic,NaN,avl
Angkamuthi,NaN,avm
Avatime,NaN,avn
Aushiri,NaN,avs
Au,NaN,avt
Avokaya,NaN,avu
Avá-Canoeiro,NaN,avv
Awadhi,awa_Deva,awa
Awa,NaN,awb
Cicipu,NaN,awc
Awetí,NaN,awe
Anguthimri,NaN,awg
Awbono,NaN,awh
Aekyom,NaN,awi
Awabakal,NaN,awk
Arawum,NaN,awm
Awngi,NaN,awn
Awak,NaN,awo
Awera,NaN,awr
South Awyu,NaN,aws
Araweté,NaN,awt
Central Awyu,NaN,awu
Jair Awyu,NaN,awv
Awun,NaN,aww
Awara,NaN,awx
Edera Awyu,NaN,awy
Abipon,NaN,axb
Mato Grosso Arára,NaN,axg
Yaka (Central African Republic),NaN,axk
Lower Southern Aranda,NaN,axl
Xârâgurè,NaN,axx
Awar,NaN,aya
Ayizo Gbe,NaN,ayb
Southern Aymara,NaN,ayc
Ayabadhu,NaN,ayd
Ayere,NaN,aye
Ginyanga,NaN,ayg
Hadrami Arabic,NaN,ayh
Leyigha,NaN,ayi
Akuku,NaN,ayk
Libyan Arabic,NaN,ayl
Sanaani Arabic,NaN,ayn
Ayoreo,NaN,ayo
North Mesopotamian Arabic,NaN,ayp
Ayi (Papua New Guinea),NaN,ayq
"Aymara, Central",NaN,ayr
Magbukun Ayta,NaN,ayt
Ayu,NaN,ayu
Mai Brat,NaN,ayz
Azha,NaN,aza
"Azerbaijani, South",NaN,azb
Eastern Durango Nahuatl,NaN,azd
"Amuzgo, San Pedro Amuzgos",NaN,azg
North Azerbaijani,azj_Latn,azj
"Azerbaijani, North",NaN,azj-script_cyrillic
Ipalapa Amuzgo,NaN,azm
Western Durango Nahuatl,NaN,azn
Awing,NaN,azo
Faire Atta,NaN,azt
"Nahuatl, Highland Puebla",NaN,azz
Babatana,NaN,baa
Bainouk-Gunyuño,NaN,bab
Badui,NaN,bac
Baré,NaN,bae
Nubaca,NaN,baf
Tuki,NaN,bag
Bahamas Creole English,NaN,bah
Barakai,NaN,baj
Bashkort,NaN,bak
Bamanankan,NaN,bam
Bali,NaN,ban
Waimaha,NaN,bao
Bantawa,NaN,bap
Bavarian,NaN,bar
Basaa,NaN,bas
Bada (Nigeria),NaN,bau
Vengo,NaN,bav
Bambili-Bambui,NaN,baw
Bamun,NaN,bax
Batuley,NaN,bay
Baatonum,NaN,bba
Barai,NaN,bbb
Batak Toba,NaN,bbc
Bau,NaN,bbd
Bangba,NaN,bbe
Baibai,NaN,bbf
Barama,NaN,bbg
Bugan,NaN,bbh
Barombi,NaN,bbi
Ghomálá',NaN,bbj
Babanki,NaN,bbk
Bats,NaN,bbl
Babango,NaN,bbm
Uneapa,NaN,bbn
Konabéré,NaN,bbo
West Central Banda,NaN,bbp
Bamali,NaN,bbq
Girawa,NaN,bbr
Bakpinka,NaN,bbs
Mburku,NaN,bbt
Kulung (Nigeria),NaN,bbu
Karnai,NaN,bbv
Baba,NaN,bbw
Befang,NaN,bby
Central Bai,NaN,bca
Southern Balochi,NaN,bcc
"Balochi, Southern",NaN,bcc-script_arabic
North Babar,NaN,bcd
Bamenyam,NaN,bce
Bamu,NaN,bcf
Baga Pokur,NaN,bcg
Bariai,NaN,bch
Baoulé,NaN,bci
Bardi,NaN,bcj
Bunuba,NaN,bck
"Bikol, Central",NaN,bcl
Bannoni,NaN,bcm
Bali (Nigeria),NaN,bcn
Kaluli,NaN,bco
Bali (Democratic Republic of Congo),NaN,bcp
Bench,NaN,bcq
Babine,NaN,bcr
Kohumono,NaN,bcs
Bendi,NaN,bct
Awad Bing,NaN,bcu
Shoo-Minda-Nye,NaN,bcv
Bana,NaN,bcw
Bacama,NaN,bcy
Bainouk-Gunyaamolo,NaN,bcz
Bayot,NaN,bda
Basap,NaN,bdb
Emberá-Baudó,NaN,bdc
Bunama,NaN,bdd
Bade,NaN,bde
Biage,NaN,bdf
Bonggi,NaN,bdg
Baka,NaN,bdh
Burun,NaN,bdi
Bai (South Sudan),NaN,bdj
Budukh,NaN,bdk
Indonesian Bajau,NaN,bdl
Buduma,NaN,bdm
Baldemu,NaN,bdn
Morom,NaN,bdo
Bende,NaN,bdp
Bahnar,NaN,bdq
West Coast Bajau,NaN,bdr
Burunge,NaN,bds
Bokoto,NaN,bdt
Oroko,NaN,bdu
Bodo Parja,NaN,bdv
Baham,NaN,bdw
Budong-Budong,NaN,bdx
Bandjalang,NaN,bdy
Beaver,NaN,bea
Bebele,NaN,beb
Iceve-Maci,NaN,bec
Bedoanas,NaN,bed
Byangsi,NaN,bee
Benabena,NaN,bef
Belait,NaN,beg
Biali,NaN,beh
Bekati',NaN,bei
Beja,NaN,bej
Bebeli,NaN,bek
Belarusian,bel_Cyrl,bel
Bemba,bem_Latn,bem
Bengali,ben_Beng,ben
Beami,NaN,beo
Behoa,NaN,bep
Beembe,NaN,beq
Besme,NaN,bes
Guiberoua Béte,NaN,bet
Blagar,NaN,beu
Daloa Bété,NaN,bev
Betawi,NaN,bew
Jur Modo,NaN,bex
Beli (Papua New Guinea),NaN,bey
Bena (Tanzania),NaN,bez
Bari,NaN,bfa
Pauri Bareli,NaN,bfb
Panyi Bai,NaN,bfc
Bafut,NaN,bfd
Tena,NaN,bfe
Bofi,NaN,bff
Busang Kayan,NaN,bfg
Blafe,NaN,bfh
Bafanji,NaN,bfj
Banda-Ndélé,NaN,bfl
Mmen,NaN,bfm
Bunak,NaN,bfn
"Birifor, Malba",NaN,bfo
Beba,NaN,bfp
Badaga,NaN,bfq
Southern Bai,NaN,bfs
Balti,NaN,bft
Gahri,NaN,bfu
Bondo,NaN,bfw
Bantayanon,NaN,bfx
Bagheli,NaN,bfy
"Pahari, Mahasu",NaN,bfz
Gwamhi-Wuri,NaN,bga
Bobongko,NaN,bgb
Haryanvi,NaN,bgc
Rathwi Bareli,NaN,bgd
Bauria,NaN,bge
Bangandu,NaN,bgf
Bugun,NaN,bgg
Giangan,NaN,bgi
Bangolan,NaN,bgj
Buxinhua,NaN,bgk
Bo (Laos),NaN,bgl
Western Balochi,NaN,bgn
Baga Koga,NaN,bgo
Eastern Balochi,NaN,bgp
Bagri,NaN,bgq
"Chin, Bawm",NaN,bgr
Tagabawa,NaN,bgs
Bughotu,NaN,bgt
Mbongno,NaN,bgu
Warkay-Bipim,NaN,bgv
Bhatri,NaN,bgw
Balkan Gagauz Turkish,NaN,bgx
Benggoi,NaN,bgy
Banggai,NaN,bgz
Bharia,NaN,bha
Bhili,NaN,bhb
Biga,NaN,bhc
Bhadrawahi,NaN,bhd
Bhaya,NaN,bhe
Odiai,NaN,bhf
Binandere,NaN,bhg
Bukharic,NaN,bhh
Bhilali,NaN,bhi
Bahing,NaN,bhj
Bimin,NaN,bhl
Bathari,NaN,bhm
Bohtan Neo-Aramaic,NaN,bhn
Bhojpuri,bho_Deva,bho
Bima,NaN,bhp
Tukang Besi South,NaN,bhq
Bara Malagasy,NaN,bhr
Buwal,NaN,bhs
Bhattiyali,NaN,bht
Bhunjia,NaN,bhu
Bahau,NaN,bhv
Biak,NaN,bhw
Bhele,NaN,bhy
Bada,NaN,bhz
Badimaya,NaN,bia
Bisa,NaN,bib
Bidiyo,NaN,bid
Bepour,NaN,bie
Biafada,NaN,bif
Biangai,NaN,big
Bile,NaN,bil
Bimoba,NaN,bim
Edo,NaN,bin
Nai,NaN,bio
Bila,NaN,bip
Bipi,NaN,biq
Bisorio,NaN,bir
Bislama,NaN,bis
Berinomo,NaN,bit
Biete,NaN,biu
"Birifor, Southern",NaN,biv
Kol (Cameroon),NaN,biw
Bijori,NaN,bix
Birhor,NaN,biy
Baloi,NaN,biz
Budza,NaN,bja
Banggarla,NaN,bjb
Bariji,NaN,bjc
Biao-Jiao Mien,NaN,bje
Barzani Jewish Neo-Aramaic,NaN,bjf
Bidyogo,NaN,bjg
Bahinemo,NaN,bjh
Burji,NaN,bji
Kanauji,NaN,bjj
Barok,NaN,bjk
Bulu (Papua New Guinea),NaN,bjl
Bajelani,NaN,bjm
Banjar,NaN,bjn
Mid-Southern Banda,NaN,bjo
Binumarien,NaN,bjr
Bajan,NaN,bjs
Balanta-Ganja,NaN,bjt
Busuu,NaN,bju
Bedjond,NaN,bjv
