language,BCP-47 code,ISO 639-3 code
Acehnese (Arabic script),ace_Arab,NaN
Acehnese (Latin script),ace_Latn,NaN
Mesopotamian Arabic,acm_Arab,NaN
Ta’izzi-Adeni Arabic,acq_Arab,NaN
Tunisian Arabic,aeb_Arab,NaN
Afrikaans,afr_Latn,NaN
South Levantine Arabic,ajp_Arab,NaN
Akan,aka_Latn,NaN
Amharic,amh_Ethi,NaN
North Levantine Arabic,apc_Arab,NaN
Modern Standard Arabic,arb_Arab,NaN
Modern Standard Arabic (Romanized),arb_Latn,NaN
Najdi Arabic,ars_Arab,NaN
Moroccan Arabic,ary_Arab,NaN
Egyptian Arabic,arz_Arab,NaN
Assamese,asm_Beng,NaN
Asturian,ast_Latn,NaN
Awadhi,awa_Deva,NaN
Central Aymara,ayr_Latn,NaN
South Azerbaijani,azb_Arab,NaN
North Azerbaijani,azj_Latn,NaN
Bashkir,bak_Cyrl,NaN
Bambara,bam_Latn,NaN
Balinese,ban_Latn,NaN
Belarusian,bel_Cyrl,NaN
Bemba,bem_Latn,NaN
Bengali,ben_Beng,NaN
Bhojpuri,bho_Deva,NaN
Banjar (Arabic script),bjn_Arab,NaN
Banjar (Latin script),bjn_Latn,NaN
Standard Tibetan,bod_Tibt,NaN
Bosnian,bos_Latn,NaN
Buginese,bug_Latn,NaN
Bulgarian,bul_Cyrl,NaN
Catalan,cat_Latn,NaN
Cebuano,ceb_Latn,NaN
Czech,ces_Latn,NaN
Chokwe,cjk_Latn,NaN
Central Kurdish,ckb_Arab,NaN
Crimean Tatar,crh_Latn,NaN
Welsh,cym_Latn,NaN
Danish,dan_Latn,NaN
German,deu_Latn,NaN
Southwestern Dinka,dik_Latn,NaN
Dyula,dyu_Latn,NaN
Dzongkha,dzo_Tibt,NaN
Greek,ell_Grek,NaN
English,eng_Latn,NaN
Esperanto,epo_Latn,NaN
Estonian,est_Latn,NaN
Basque,eus_Latn,NaN
Ewe,ewe_Latn,NaN
Faroese,fao_Latn,NaN
Fijian,fij_Latn,NaN
Finnish,fin_Latn,NaN
Fon,fon_Latn,NaN
French,fra_Latn,NaN
Friulian,fur_Latn,NaN
Nigerian Fulfulde,fuv_Latn,NaN
Scottish Gaelic,gla_Latn,NaN
Irish,gle_Latn,NaN
Galician,glg_Latn,NaN
Guarani,grn_Latn,NaN
Gujarati,guj_Gujr,NaN
Haitian Creole,hat_Latn,NaN
Hausa,hau_Latn,NaN
Hebrew,heb_Hebr,NaN
Hindi,hin_Deva,NaN
Chhattisgarhi,hne_Deva,NaN
Croatian,hrv_Latn,NaN
Hungarian,hun_Latn,NaN
Armenian,hye_Armn,NaN
Igbo,ibo_Latn,NaN
Ilocano,ilo_Latn,NaN
Indonesian,ind_Latn,NaN
Icelandic,isl_Latn,NaN
Italian,ita_Latn,NaN
Javanese,jav_Latn,NaN
Japanese,jpn_Jpan,NaN
Kabyle,kab_Latn,NaN
Jingpho,kac_Latn,NaN
Kamba,kam_Latn,NaN
Kannada,kan_Knda,NaN
Kashmiri (Arabic script),kas_Arab,NaN
Kashmiri (Devanagari script),kas_Deva,NaN
Georgian,kat_Geor,NaN
Central Kanuri (Arabic script),knc_Arab,NaN
Central Kanuri (Latin script),knc_Latn,NaN
Kazakh,kaz_Cyrl,NaN
Kabiyè,kbp_Latn,NaN
Kabuverdianu,kea_Latn,NaN
Khmer,khm_Khmr,NaN
Kikuyu,kik_Latn,NaN
Kinyarwanda,kin_Latn,NaN
Kyrgyz,kir_Cyrl,NaN
Kimbundu,kmb_Latn,NaN
Northern Kurdish,kmr_Latn,NaN
Kikongo,kon_Latn,NaN
Korean,kor_Hang,NaN
Lao,lao_Laoo,NaN
Ligurian,lij_Latn,NaN
Limburgish,lim_Latn,NaN
Lingala,lin_Latn,NaN
Lithuanian,lit_Latn,NaN
Lombard,lmo_Latn,NaN
Latgalian,ltg_Latn,NaN
Luxembourgish,ltz_Latn,NaN
Luba-Kasai,lua_Latn,NaN
Ganda,lug_Latn,NaN
Luo,luo_Latn,NaN
Mizo,lus_Latn,NaN
Standard Latvian,lvs_Latn,NaN
Magahi,mag_Deva,NaN
Maithili,mai_Deva,NaN
Malayalam,mal_Mlym,NaN
Marathi,mar_Deva,NaN
Minangkabau (Arabic script),min_Arab,NaN
Minangkabau (Latin script),min_Latn,NaN
Macedonian,mkd_Cyrl,NaN
Plateau Malagasy,plt_Latn,NaN
Maltese,mlt_Latn,NaN
Meitei (Bengali script),mni_Beng,NaN
Halh Mongolian,khk_Cyrl,NaN
Mossi,mos_Latn,NaN
Maori,mri_Latn,NaN
Burmese,mya_Mymr,NaN
Dutch,nld_Latn,NaN
Norwegian Nynorsk,nno_Latn,NaN
Norwegian Bokmål,nob_Latn,NaN
Nepali,npi_Deva,NaN
Northern Sotho,nso_Latn,NaN
Nuer,nus_Latn,NaN
Nyanja,nya_Latn,NaN
Occitan,oci_Latn,NaN
West Central Oromo,gaz_Latn,NaN
Odia,ory_Orya,NaN
Pangasinan,pag_Latn,NaN
Eastern Panjabi,pan_Guru,NaN
Papiamento,pap_Latn,NaN
Western Persian,pes_Arab,NaN
Polish,pol_Latn,NaN
Portuguese,por_Latn,NaN
Dari,prs_Arab,NaN
Southern Pashto,pbt_Arab,NaN
Ayacucho Quechua,quy_Latn,NaN
Romanian,ron_Latn,NaN
Rundi,run_Latn,NaN
Russian,rus_Cyrl,NaN
Sango,sag_Latn,NaN
Sanskrit,san_Deva,NaN
Santali,sat_Olck,NaN
Sicilian,scn_Latn,NaN
Shan,shn_Mymr,NaN
Sinhala,sin_Sinh,NaN
Slovak,slk_Latn,NaN
Slovenian,slv_Latn,NaN
Samoan,smo_Latn,NaN
Shona,sna_Latn,NaN
Sindhi,snd_Arab,NaN
Somali,som_Latn,NaN
Southern Sotho,sot_Latn,NaN
Spanish,spa_Latn,NaN
Tosk Albanian,als_Latn,NaN
Sardinian,srd_Latn,NaN
Serbian,srp_Cyrl,NaN
Swati,ssw_Latn,NaN
Sundanese,sun_Latn,NaN
Swedish,swe_Latn,NaN
Swahili,swh_Latn,NaN
Silesian,szl_Latn,NaN
Tamil,tam_Taml,NaN
Tatar,tat_Cyrl,NaN
Telugu,tel_Telu,NaN
Tajik,tgk_Cyrl,NaN
Tagalog,tgl_Latn,NaN
Thai,tha_Thai,NaN
Tigrinya,tir_Ethi,NaN
Tamasheq (Latin script),taq_Latn,NaN
Tamasheq (Tifinagh script),taq_Tfng,NaN
Tok Pisin,tpi_Latn,NaN
Tswana,tsn_Latn,NaN
Tsonga,tso_Latn,NaN
Turkmen,tuk_Latn,NaN
Tumbuka,tum_Latn,NaN
Turkish,tur_Latn,NaN
Twi,twi_Latn,NaN
Central Atlas Tamazight,tzm_Tfng,NaN
Uyghur,uig_Arab,NaN
Ukrainian,ukr_Cyrl,NaN
Umbundu,umb_Latn,NaN
Urdu,urd_Arab,NaN
Northern Uzbek,uzn_Latn,NaN
Venetian,vec_Latn,NaNShona
Vietnamese,vie_Latn,NaN
Waray,war_Latn,NaN
Wolof,wol_Latn,NaN
Xhosa,xho_Latn,NaN
Eastern Yiddish,ydd_Hebr,NaN
Yoruba,yor_Latn,NaN
Yue Chinese,yue_Hant,NaN
Chinese (Simplified),zho_Hans,NaN
Chinese (Traditional),zho_Hant,NaN
Standard Malay,zsm_Latn,NaN
Zulu,zul_Latn,NaN
Zeme Naga,nzm_Latn,NaN
Nagamese,nag_Latn,NaN
Kachi Koli,gjk_Gujr,NaN
Surjapuri,sjp_Deva,NaN
